context_small,context_large,word,prev,prev_fav,fol,fol_fav,count,frequency_ppm,freq_log_ppm,hapax,stress,fav_count,FFC,transmission,modern_spa,latin_stop
de Milan: mas en los claros i,herrerias de Milan: mas en los claros ingenios de doctos varones,claros,s,no,a,yes,6,87.71032204,4.47403959,no,stressed,1,0.166666667,oral,preservation,c
tificio: su fuerte e claro m,: sotil artificio: su fuerte e claro metal: su modo e manera de,claro,e,yes,a,yes,23,336.2229012,5.817774336,no,stressed,9,0.391304348,oral,preservation,c
on es que aplique mi pluma e," dano: razon es que aplique mi pluma este engano, no dissimulan",pluma,i,no,u,no,13,190.0390311,5.247229478,no,stressed,2,0.153846154,oral,preservation,p
"estruyen: nublosas & flacas, ","mis alas destruyen: nublosas & flacas, nascidas de ogano. Prosig",flacas,&,no,a,yes,4,58.47354803,4.068574482,no,stressed,1,0.25,oral,preservation,f
rga: desta manera la pluma s,"lud se alarga: desta manera la pluma se embarga, imponiendo dic",pluma,a,yes,u,no,13,190.0390311,5.247229478,no,stressed,2,0.153846154,oral,preservation,p
i que esta obra a mi flaco e,"nte. Y assi que esta obra a mi flaco entender fue tanto breue, ",flaco,i,no,a,yes,12,175.4206441,5.16718677,no,stressed,2,0.166666667,oral,preservation,f
"de gracias, labor de plazer: "," en forro de gracias, labor de plazer: no hizo Dedalo en su offi",plazer,e,yes,a,yes,78,1140.234187,7.038988947,no,unstressed,31,0.397435897,oral,preservation,p
"as y lanza, azotes y clauos s"," que espinas y lanza, azotes y clauos su sangre vertieron; la su",clauos,y,no,a,yes,2,29.23677401,3.375427301,no,stressed,0,0,oral,preservation,c
 es que aplique a mi pluma e,ano: razon es que aplique a mi pluma este engano no despreciand,pluma,i,no,u,no,13,190.0390311,5.247229478,no,stressed,2,0.153846154,oral,preservation,p
destruyen nublosas e flacas n, mis alas destruyen nublosas e flacas nascidas de ogano. Prosigu,flacas,e,yes,a,yes,4,58.47354803,4.068574482,no,stressed,1,0.25,oral,preservation,f
rga: desta manera mi pluma s,lud se alarga: desta manera mi pluma se embarga imponiendo dich,pluma,i,no,u,no,13,190.0390311,5.247229478,no,stressed,2,0.153846154,oral,preservation,p
 de gracias lauor de plazer: ,l en forro de gracias lauor de plazer: no hizo Dedalo cierto a m,plazer,e,yes,a,yes,78,1140.234187,7.038988947,no,unstressed,31,0.397435897,oral,preservation,p
ue de muy hinchada y llena q,e dezir: que de muy hinchada y llena quiere rebentar: echando d,llena,y,no,e,yes,11,160.8022571,5.080175393,no,stressed,7,0.636363636,oral,palatalization,p
 de aquellos que por claror d,los dichos de aquellos que por claror de sus ingenios meresciero,claror,r,no,a,yes,1,14.61838701,2.68228012,yes,unstressed,0,0,oral,preservation,c
errae tremunt. maria fluctuant a,fligunt. terrae tremunt. maria fluctuant aer quatitur. crepant flam,fluctuant,a,yes,u,no,1,14.61838701,2.68228012,yes,unstressed,1,1,written,preservation,f
e sacude: suenan las llamas: , el ayre se sacude: suenan las llamas: los vientos entre si trae,llamas,s,no,a,yes,8,116.9470961,4.761721662,no,stressed,3,0.375,oral,palatalization,c
 de tras el fuego yo llegaria m,se conseja de tras el fuego yo llegaria mas al cabo esta cuenta. E,llegaria,o,yes,e,yes,1,14.61838701,2.68228012,yes,unstressed,1,1,oral,palatalization,p
s de vn pequeno pece llamado e, marauillas de vn pequeno pece llamado echeneis: quanto sea apta ,llamado,e,yes,a,yes,10,146.1838701,4.984865213,no,unstressed,5,0.5,oral,palatalization,c
 a cazar. De vna ave llamada R,los vienen a cazar. De vna ave llamada Rocho que nace en el Indic,llamada,e,yes,a,yes,5,73.09193504,4.291718033,no,unstressed,4,0.8,oral,palatalization,c
es que desta nuestra flaca h,e variedades que desta nuestra flaca humanidad nos prouienen: e,flaca,a,yes,a,yes,13,190.0390311,5.247229478,no,stressed,5,0.384615385,oral,preservation,f
 para cuyo verdadero plazer e,o aquellos para cuyo verdadero plazer es todo: desechan el cuent,plazer,o,yes,a,yes,78,1140.234187,7.038988947,no,unstressed,31,0.397435897,oral,preservation,p
do que no se auia de llamar C,re: diziendo que no se auia de llamar Comedia: pues acabaua en t,llamar,e,yes,a,yes,18,263.1309661,5.572651878,no,unstressed,6,0.333333333,oral,palatalization,c
risteza: sino que se llamasse T,abaua en tristeza: sino que se llamasse Tragedia. El primer autor ,llamasse,e,yes,a,yes,1,14.61838701,2.68228012,yes,unstressed,1,1,oral,palatalization,c
el principio que fue plazer e,minacion del principio que fue plazer e llamola Comedia. yo vien,plazer,e,yes,a,yes,78,1140.234187,7.038988947,no,unstressed,31,0.397435897,oral,preservation,p
 llamola C,e plazer e llamola Comedia. yo viendo estas d,llamola,e,yes,a,yes,1,14.61838701,2.68228012,yes,stressed,1,1,oral,palatalization,c
r medio la porfia: e llamela T,i agora por medio la porfia: e llamela Tragicomedia. Assi que vie,llamela,e,yes,a,yes,1,14.61838701,2.68228012,yes,stressed,1,1,oral,palatalization,c
meter segunda vez la pluma e, voluntad meter segunda vez la pluma en tan estrana lauor e tan,pluma,a,yes,u,no,13,190.0390311,5.247229478,no,stressed,2,0.153846154,oral,preservation,p
 de noble linaje: de claro i,alisto fue de noble linaje: de claro ingenio: de gentil disposi,claro,e,yes,a,yes,23,336.2229012,5.817774336,no,stressed,9,0.391304348,oral,preservation,c
o con vn criado suyo llamado S,iado. hablo con vn criado suyo llamado Sempronio. el qual despues,llamado,o,yes,a,yes,10,146.1838701,4.984865213,no,unstressed,5,0.5,oral,palatalization,c
enderezo a vna vieja llamada C,azones le enderezo a vna vieja llamada Celestina: en cuya casa te,llamada,a,yes,a,yes,5,73.09193504,4.291718033,no,unstressed,4,0.8,oral,palatalization,c
criado vna enamorada llamada E, el mesmo criado vna enamorada llamada Elicia: la qual viniendo S,llamada,a,yes,a,yes,5,73.09193504,4.291718033,no,unstressed,4,0.8,oral,palatalization,c
tenia a otro consigo llamado C,de su amo tenia a otro consigo llamado Crito: al qual escondieron,llamado,o,yes,a,yes,10,146.1838701,4.984865213,no,unstressed,5,0.5,oral,palatalization,c
iento dura fasta que llega S,al razonamiento dura fasta que llega Sempronio e Celestina a ca,llega,e,yes,e,yes,49,716.3009634,6.574100419,no,stressed,3,0.06122449,oral,palatalization,p
ste vn poco. dexemos llorar a,enconan. este vn poco. dexemos llorar al que dolor tiene: que la,llorar,s,no,o,yes,21,306.9861272,5.726802558,no,unstressed,13,0.619047619,oral,palatalization,p
en puedan sus cuytas llorar. ,er con quien puedan sus cuytas llorar. Y que la llaga interior m,llorar,s,no,o,yes,21,306.9861272,5.726802558,no,unstressed,13,0.619047619,oral,palatalization,p
Y que la llaga i,s llorar. Y que la llaga interior mas empece. Pues ,llaga,s,no,o,yes,25,365.4596752,5.901155945,no,stressed,6,0.24,oral,palatalization,p
lo dire: mayor es la llama q,mo? yo te lo dire: mayor es la llama que dura ochenta anos que ,llama,a,yes,a,yes,86,1257.181283,7.136627417,no,stressed,8,0.093023256,oral,palatalization,f
za / o pertinacia la llaman e,a mas dureza / o pertinacia la llaman en mi tierra. Vosotros los,llaman,a,yes,a,yes,16,233.8941921,5.454868843,no,stressed,9,0.5625,oral,palatalization,c
 filosofos de Cupido llamalda c,sotros los filosofos de Cupido llamalda como quisierdes. CAL.--tor,llamalda,o,yes,a,yes,1,14.61838701,2.68228012,yes,unstressed,1,1,oral,palatalization,c
la imperfecion de la flaca m, hombre a la imperfecion de la flaca muger. CAL.--muger? o gros,flaca,a,yes,a,yes,13,190.0390311,5.247229478,no,stressed,5,0.384615385,oral,preservation,f
oda tu vida auias de llorar? ,ues que: toda tu vida auias de llorar? CAL.--si. SEMP.--porque? ,llorar,e,yes,o,yes,21,306.9861272,5.726802558,no,unstressed,13,0.619047619,oral,palatalization,p
os: mira los poetas: llenos e,os filosofos: mira los poetas: llenos estan los libros de sus vi,llenos,:,no,e,yes,4,58.47354803,4.068574482,no,stressed,1,0.25,oral,palatalization,p
 Combidan. despiden. llaman. , la calle. Combidan. despiden. llaman. niegan. senalan amor. pro,llaman,.,no,a,yes,16,233.8941921,5.454868843,no,stressed,9,0.5625,oral,palatalization,c
o que quieren. O que plaga. ,adeuinen lo que quieren. O que plaga. o que enojo. o que fastio,plaga,e,yes,a,yes,1,14.61838701,2.68228012,yes,stressed,1,1,written,preservation,p
ro eres hombre: e de claro i,"? lo primero eres hombre: e de claro ingenio: e mas, a quien la",claro,e,yes,a,yes,23,336.2229012,5.817774336,no,stressed,9,0.391304348,oral,preservation,c
" digas, que muy gran plazer h","dixe que digas, que muy gran plazer haure de lo oyr. Assi te m",plazer,n,no,a,yes,78,1140.234187,7.038988947,no,unstressed,31,0.397435897,oral,preservation,p
L.--pues porque ayas plazer: ,de oyr. CAL.--pues porque ayas plazer: yo lo figurare por partes,plazer,s,no,a,yes,78,1140.234187,7.038988947,no,unstressed,31,0.397435897,oral,preservation,p
jos? SEMP.--con ojos claros. ,jos? SEMP.--con ojos claros. ,claros,s,no,a,yes,6,87.71032204,4.47403959,no,stressed,1,0.166666667,oral,preservation,c
n los principios las llagas: ,os danan en los principios las llagas: e encarecen el prometimie,llagas,s,no,a,yes,3,43.85516102,3.780892409,no,stressed,0,0,oral,palatalization,p
r? CAL.--a la puerta llaman; ,"e es, senor? CAL.--a la puerta llaman; corre. PARM.--quien es? S",llaman,a,yes,a,yes,16,233.8941921,5.454868843,no,stressed,9,0.5625,oral,palatalization,c
sta el nombre que la llame? , orejas desta el nombre que la llame? no lo creas: que assi se ,llame,a,yes,a,yes,6,87.71032204,4.47403959,no,stressed,4,0.666666667,oral,palatalization,c
"RM.--senor, yua a la plaza e","eruias? PARM.--senor, yua a la plaza e trayale de comer: e acom",plaza,a,yes,a,yes,8,116.9470961,4.761721662,no,stressed,7,0.875,oral,preservation,p
 que entrauan alli a llorar s,"satacados: que entrauan alli a llorar sus pecados. que trafagos,",llorar,a,yes,o,yes,21,306.9861272,5.726802558,no,unstressed,13,0.619047619,oral,palatalization,p
es. Tenia vna camara llena d,"s, mosquetes. Tenia vna camara llena de alambiques, de redomill",llena,a,yes,e,yes,11,160.8022571,5.080175393,no,stressed,7,0.636363636,oral,palatalization,p
"ujelladas, cerillas, llanillas, ","entadas, bujelladas, cerillas, llanillas, vnturillas, lustres, luze",llanillas,",",no,a,yes,1,14.61838701,2.68228012,yes,unstressed,0,0,oral,palatalization,p
"lustres, luzentores, clarimientes, ","turillas, lustres, luzentores, clarimientes, alualinos. E otras aguas ",clarimientes,",",no,a,yes,1,14.61838701,2.68228012,yes,unstressed,0,0,oral,preservation,c
"ntrillo, coronillas, flor d","scos, culantrillo, coronillas, flor de sauco e de mostaza, esp",flor,",",no,o,yes,16,233.8941921,5.454868843,no,stressed,2,0.125,oral,preservation,f
"tarosa e gramonilla, flor s","lanco, tortarosa e gramonilla, flor saluaje, e higueruela, pic",flor,",",no,o,yes,16,233.8941921,5.454868843,no,stressed,2,0.125,oral,preservation,f
"a, soga de ahorcado, flor d","uija marina, soga de ahorcado, flor de yedra, espina de erizo,",flor,",",no,o,yes,16,233.8941921,5.454868843,no,stressed,2,0.125,oral,preservation,f
os corazones de cera llenos d,os daua vnos corazones de cera llenos de agujas quebradas. e otr,llenos,a,yes,e,yes,4,58.47354803,4.068574482,no,stressed,1,0.25,oral,palatalization,p
 cosas en barro e en plomo h,"s. e otras cosas en barro e en plomo hechas, muy espantables al",plomo,n,no,o,yes,1,14.61838701,2.68228012,yes,stressed,0,0,oral,preservation,p
